Year,Value,
1997,1.57429E+12,
1998,1.43625E+12,
1999,1.58215E+12,
2000,1.74217E+12,
2001,1.85264E+12,
2002,2.05162E+12,
2003,2.32306E+12,
2004,2.69268E+12,
2005,3.11803E+12,
2006,3.75626E+12,
2007,4.74907E+12,
2008,6.00915E+12,
2009,6.51868E+12,
2010,7.86401E+12,
2011,9.61208E+12,
2012,1.07234E+13,
2013,1.18379E+13,
2014,1.27295E+13,
2015,1.32427E+13,
2016,1.34865E+13,
1960,2.45382E+11,
1961,2.701E+11,
1962,2.9974E+11,
1963,3.36261E+11,
1964,3.73999E+11,
1965,4.08106E+11,
1966,4.45026E+11,
1967,4.83426E+11,
1968,5.18247E+11,
1969,5.72514E+11,
1970,6.41498E+11,
1971,7.27089E+11,
1972,8.78426E+11,
1973,1.14029E+12,
1974,1.293E+12,
1975,1.49939E+12,
1976,1.56462E+12,
1977,1.77959E+12,
1978,2.1792E+12,
1979,2.63995E+12,
1980,2.95694E+12,
1981,2.56999E+12,
1982,2.48815E+12,
1983,2.42737E+12,
1984,2.32843E+12,
1985,2.39223E+12,
1986,3.35748E+12,
1987,4.15305E+12,
1988,4.56765E+12,
1989,4.66594E+12,
1990,5.8721E+12,
1991,6.10496E+12,
1992,6.73538E+12,
1993,6.16913E+12,
1994,6.51601E+12,
1995,7.5207E+12,
1996,7.61227E+12,
1997,6.95996E+12,
1998,7.15157E+12,
1999,7.11959E+12,
2000,6.48733E+12,
2001,6.59363E+12,
2002,7.17401E+12,
2003,8.85157E+12,
2004,1.01529E+13,
2005,1.05366E+13,
2006,1.1186E+13,
2007,1.28795E+13,
2008,1.41182E+13,
2009,1.29086E+13,
2010,1.26453E+13,
2011,1.36233E+13,
2012,1.26395E+13,
2013,1.31908E+13,
2014,1.34765E+13,
2015,1.16619E+13,
2016,1.19341E+13,
1960,4.32808E+11,
1961,4.60716E+11,
1962,5.03691E+11,
1963,5.55426E+11,
1964,6.15092E+11,
1965,6.69326E+11,
1966,7.27156E+11,
1967,7.82354E+11,
1968,8.15953E+11,
1969,8.95834E+11,
1970,1.00777E+12,
1971,1.13657E+12,
1972,1.36196E+12,
1973,1.72979E+12,
1974,1.95441E+12,
1975,2.28327E+12,
1976,2.3732E+12,
1977,2.6895E+12,
1978,3.28269E+12,
1979,4.01605E+12,
1980,4.54912E+12,
1981,4.04897E+12,
1982,3.90166E+12,
1983,3.78499E+12,
1984,3.63791E+12,
1985,3.76494E+12,
1986,5.13863E+12,
1987,6.35005E+12,
1988,7.06879E+12,
1989,7.22573E+12,
1990,8.8394E+12,
1991,9.11985E+12,
1992,9.7818E+12,
1993,8.98961E+12,
1994,9.40228E+12,
1995,1.08452E+13,
1996,1.10727E+13,
1997,1.05063E+13,
1998,1.07659E+13,
1999,1.06431E+13,
2000,1.00253E+13,
2001,1.01225E+13,
2002,1.1074E+13,
2003,1.3489E+13,
2004,1.57226E+13,
2005,1.67478E+13,
2006,1.81281E+13,
2007,2.11788E+13,
2008,2.3242E+13,
2009,2.04432E+13,
2010,2.09247E+13,
2011,2.31826E+13,
2012,2.23407E+13,
2013,2.33492E+13,
2014,2.36547E+13,
2015,2.03646E+13,
2016,2.02738E+13,
1989,9.03702E+11,
1990,9.60439E+11,
1991,9.26765E+11,
1992,8.53278E+11,
1993,8.38261E+11,
1994,7.27687E+11,
1995,7.76931E+11,
1996,7.87852E+11,
1997,8.20132E+11,
1998,7.71872E+11,
1999,6.5045E+11,
2000,7.20049E+11,
2001,7.17063E+11,
2002,8.20431E+11,
2003,1.03751E+12,
2004,1.3676E+12,
2005,1.72646E+12,
2006,2.11432E+12,
2007,2.72765E+12,
2008,3.37233E+12,
2009,2.65525E+12,
2010,3.15626E+12,
2011,3.89187E+12,
2012,4.11101E+12,
2013,4.36924E+12,
2014,4.07885E+12,
2015,3.12118E+12,
2016,2.99182E+12,
1989,9.60328E+11,
1990,1.02062E+12,
1991,1.0078E+12,
1992,9.44313E+11,
1993,9.31236E+11,
1994,8.37244E+11,
1995,9.18931E+11,
1996,9.47705E+11,
1997,9.79133E+11,
1998,9.46229E+11,
1999,8.20214E+11,
2000,8.91935E+11,
2001,9.07585E+11,
2002,1.01911E+12,
2003,1.25503E+12,
2004,1.6227E+12,
2005,2.0326E+12,
2006,2.45915E+12,
2007,3.1569E+12,
2008,3.90615E+12,
2009,3.0956E+12,
2010,3.63551E+12,
2011,4.42059E+12,
2012,4.6113E+12,
2013,4.89344E+12,
2014,4.62392E+12,
2015,3.59846E+12,
2016,3.46319E+12,
1960,3.58941E+11,
1961,3.90792E+11,
1962,4.2691E+11,
1963,4.70299E+11,
1964,5.212E+11,
1965,5.67593E+11,
1966,6.15287E+11,
1967,6.6117E+11,
1968,6.87217E+11,
1969,7.548E+11,
1970,8.55292E+11,
1971,9.67486E+11,
1972,1.1584E+12,
1973,1.47083E+12,
1974,1.65303E+12,
1975,1.92712E+12,
1976,1.99588E+12,
1977,2.26022E+12,
1978,2.76991E+12,
1979,3.38285E+12,
1980,3.86124E+12,
1981,3.41653E+12,
1982,3.28816E+12,
1983,3.18722E+12,
1984,3.06022E+12,
1985,3.16277E+12,
1986,4.33702E+12,
1987,5.36635E+12,
1988,5.98592E+12,
1989,6.11198E+12,
1990,7.57912E+12,
1991,7.86571E+12,
1992,8.57112E+12,
1993,7.81548E+12,
1994,8.29916E+12,
1995,9.62642E+12,
1996,9.84135E+12,
1997,9.28952E+12,
1998,9.60557E+12,
1999,9.59085E+12,
2000,8.91244E+12,
2001,9.00986E+12,
2002,9.82271E+12,
2003,1.19572E+13,
2004,1.38067E+13,
2005,1.44412E+13,
2006,1.54054E+13,
2007,1.77958E+13,
2008,1.91367E+13,
2009,1.71015E+13,
2010,1.69927E+13,
2011,1.83526E+13,
2012,1.72902E+13,
2013,1.80269E+13,
2014,1.86324E+13,
2015,1.64107E+13,
2016,1.64873E+13,
2000,2.16612E+11,
2001,1.99205E+11,
2002,1.94032E+11,
2003,2.20476E+11,
2004,2.54384E+11,
2005,3.08822E+11,
2006,3.64922E+11,
2007,4.48717E+11,
2008,5.79391E+11,
2009,5.39488E+11,
2010,6.43371E+11,
2011,7.00476E+11,
2012,7.56983E+11,
2013,8.10325E+11,
2014,8.52106E+11,
2015,7.70044E+11,
2016,7.44251E+11,
1960,17473803358,
1961,17924863806,
1962,19538438425,
1963,23684971463,
1964,20979456379,
1965,24348171157,
1966,26567528898,
1967,25931280079,
1968,27114287370,
1969,30297392080,
1970,31764371339,
1971,34259906250,
1972,37115833946,
1973,44704748983,
1974,54845280151,
1975,62227654281,
1976,65977606587,
1977,77971412146,
1978,89080486979,
1979,1.00817E+11,
1980,1.05071E+11,
1981,1.04722E+11,
1982,1.04471E+11,
1983,97967495416,
1984,97376234702,
1985,1.02805E+11,
1986,1.18063E+11,
1987,1.2928E+11,
1988,1.30139E+11,
1989,1.26907E+11,
1990,1.29333E+11,
1991,1.33035E+11,
1992,1.21554E+11,
1993,1.25717E+11,
1994,1.11543E+11,
1995,1.26834E+11,
1996,1.32656E+11,
1997,1.39379E+11,
1998,1.43541E+11,
1999,1.43471E+11,
2000,1.55564E+11,
2001,1.47866E+11,
2002,1.60612E+11,
2003,1.82909E+11,
2004,2.10715E+11,
2005,2.4304E+11,
2006,2.91439E+11,
2007,3.47725E+11,
2008,4.19658E+11,
2009,4.23821E+11,
2010,4.67852E+11,
2011,5.22236E+11,
2012,5.62429E+11,
2013,6.10042E+11,
2014,6.478E+11,
2015,6.38733E+11,
2016,6.48289E+11,
1960,1.06026E+12,
1961,1.122E+12,
1962,1.21179E+12,
1963,1.30462E+12,
1964,1.4246E+12,
1965,1.54671E+12,
1966,1.69637E+12,
1967,1.81935E+12,
1968,1.97129E+12,
1969,2.16383E+12,
1970,2.3806E+12,
1971,2.64174E+12,
1972,3.06524E+12,
1973,3.70827E+12,
1974,4.18457E+12,
1975,4.66619E+12,
1976,5.08277E+12,
1977,5.75531E+12,
1978,6.89161E+12,
1979,7.96974E+12,
1980,8.9015E+12,
1981,9.03947E+12,
1982,8.95345E+12,
1983,9.24398E+12,
1984,9.64153E+12,
1985,1.01362E+13,
1986,1.23028E+13,
1987,1.4249E+13,
1988,1.60501E+13,
1989,1.68119E+13,
1990,1.89047E+13,
1991,1.99932E+13,
1992,2.15113E+13,
1993,2.1708E+13,
1994,2.32677E+13,
1995,2.58394E+13,
1996,2.60703E+13,
1997,2.56416E+13,
1998,2.57265E+13,
1999,2.70265E+13,
2000,2.75856E+13,
2001,2.73178E+13,
2002,2.84735E+13,
2003,3.19231E+13,
2004,3.55322E+13,
2005,3.75749E+13,
2006,3.96547E+13,
2007,4.33382E+13,
2008,4.60304E+13,
2009,4.31407E+13,
2010,4.52068E+13,
2011,4.87797E+13,
2012,4.88146E+13,
2013,4.93463E+13,
2014,5.03624E+13,
2015,4.75775E+13,
2016,4.85575E+13,
1960,2.94958E+11,
1961,2.81784E+11,
1962,2.94099E+11,
1963,3.13572E+11,
1964,3.55118E+11,
1965,3.90096E+11,
1966,4.02243E+11,
1967,4.13246E+11,
1968,4.36907E+11,
1969,4.8845E+11,
1970,5.29816E+11,
1971,5.79023E+11,
1972,6.51685E+11,
1973,8.38687E+11,
1974,1.05878E+12,
1975,1.14459E+12,
1976,1.24866E+12,
1977,1.41651E+12,
1978,1.52808E+12,
1979,1.82889E+12,
1980,2.14453E+12,
1981,2.32699E+12,
1982,2.30866E+12,
1983,2.2775E+12,
1984,2.31937E+12,
1985,2.44511E+12,
1986,2.55833E+12,
1987,2.6209E+12,
1988,2.8501E+12,
1989,3.05139E+12,
1990,3.45059E+12,
1991,3.71894E+12,
1992,3.70454E+12,
1993,3.97607E+12,
1994,4.3554E+12,
1995,4.89036E+12,
1996,5.33708E+12,
1997,5.64728E+12,
1998,5.47989E+12,
1999,5.32579E+12,
2000,5.78718E+12,
2001,5.86414E+12,
2002,5.95757E+12,
2003,6.72824E+12,
2004,8.00968E+12,
2005,9.57486E+12,
2006,1.1353E+13,
2007,1.4129E+13,
2008,1.6969E+13,
2009,1.64776E+13,
2010,1.99739E+13,
2011,2.36194E+13,
2012,2.50546E+13,
2013,2.65102E+13,
2014,2.73966E+13,
2015,2.58543E+13,
2016,2.59815E+13,
1960,3.3242E+11,
1961,3.2196E+11,
1962,3.37639E+11,
1963,3.62701E+11,
1964,4.02889E+11,
1965,4.44077E+11,
1966,4.60869E+11,
1967,4.72421E+11,
1968,4.99278E+11,
1969,5.58934E+11,
